"Year_ID_Location";"Year_ID";"ID";"Year_Location";"Year";"Location";"Island";"in_out";"Least_age";"Least_hatchyear";"filled";"obs";"capt";"gene_new";"Sex";"Own_survival";"N_Recruits";"r2s";"parent_in_pedigree";"present_in_pedigree";"ever_a_parent";"ringed_ad_recorded";"estimated_pop_size";"observed_breeding_popsize"
"95";"2002_8168656_myken";"2002_8168656";"8168656";"2002_myken";2002;"myken";22;1;4;1998;"no";"obs";"capt";NA;"f";0;0;0;"no";"no";"never";16;34;22
"96";"1999_8168657_myken";"1999_8168657";"8168657";"1999_myken";1999;"myken";22;1;1;1998;"no";"obs";"capt";NA;"f";0;0;0;"no";"no";"never";30;37;32
"97";"1999_8168658_myken";"1999_8168658";"8168658";"1999_myken";1999;"myken";22;1;1;1998;"no";NA;"capt";NA;"f";1;0;2;"no";"yes";"yes";30;37;32
"98";"2000_8168658_myken";"2000_8168658";"8168658";"2000_myken";2000;"myken";22;1;2;1998;"yes";NA;NA;NA;"f";1;0;2;"no";"yes";"yes";29;31;33
"99";"2001_8168658_myken";"2001_8168658";"8168658";"2001_myken";2001;"myken";22;1;3;1998;"gene_new";NA;NA;"gene_new";"f";0;2;2;"yes";"yes";"yes";29;38;34
"100";"1999_8168659_myken";"1999_8168659";"8168659";"1999_myken";1999;"myken";22;1;1;1998;"no";"obs";"capt";NA;"m";1;0;2;"no";"no";"never";30;37;32
"101";"2000_8168659_myken";"2000_8168659";"8168659";"2000_myken";2000;"myken";22;1;2;1998;"no";"obs";NA;NA;"m";1;0;2;"no";"no";"never";29;31;33
"102";"2001_8168659_myken";"2001_8168659";"8168659";"2001_myken";2001;"myken";22;1;3;1998;"no";"obs";"capt";NA;"m";1;0;2;"no";"no";"never";29;38;34
"103";"2002_8168659_myken";"2002_8168659";"8168659";"2002_myken";2002;"myken";22;1;4;1998;"no";"obs";NA;NA;"m";0;0;0;"no";"no";"never";16;34;22
"104";"1999_8168660_myken";"1999_8168660";"8168660";"1999_myken";1999;"myken";22;1;1;1998;"no";"obs";"capt";NA;"m";1;3;5;"yes";"yes";"yes";30;37;32
"105";"2000_8168660_myken";"2000_8168660";"8168660";"2000_myken";2000;"myken";22;1;2;1998;"no";"obs";NA;NA;"m";1;0;2;"no";"yes";"yes";29;31;33
"106";"2001_8168660_myken";"2001_8168660";"8168660";"2001_myken";2001;"myken";22;1;3;1998;"no";"obs";NA;NA;"m";0;0;0;"no";"yes";"yes";29;38;34
"107";"1999_8168661_myken";"1999_8168661";"8168661";"1999_myken";1999;"myken";22;1;1;1998;"no";NA;"capt";NA;"m";1;0;2;"no";"yes";"yes";30;37;32
"108";"2000_8168661_myken";"2000_8168661";"8168661";"2000_myken";2000;"myken";22;1;2;1998;"no";"obs";NA;NA;"m";0;2;2;"yes";"yes";"yes";29;31;33
"109";"1999_8168662_myken";"1999_8168662";"8168662";"1999_myken";1999;"myken";22;1;1;1998;"no";"obs";"capt";NA;"m";0;0;0;"no";"yes";"never";30;37;32
"110";"1999_8168663_myken";"1999_8168663";"8168663";"1999_myken";1999;"myken";22;1;1;1998;"no";"obs";"capt";NA;"f";1;0;2;"no";"no";"never";30;37;32
"111";"2000_8168663_myken";"2000_8168663";"8168663";"2000_myken";2000;"myken";22;1;2;1998;"no";"obs";NA;NA;"f";0;0;0;"no";"no";"never";29;31;33
"112";"2000_8168665_hestmannøy";"2000_8168665";"8168665";"2000_hestmannøy";2000;"hestmannøy";27;0;1;1999;"no";NA;"capt";NA;"f";0;0;0;"no";"yes";"never";108;121;123
"113";"2000_8168673_sleneset";"2000_8168673";"8168673";"2000_sleneset";2000;"sleneset";35;1;1;1999;"no";"obs";NA;NA;"m";0;0;0;"no";"yes";"never";50;60;52
"114";"2000_8168676_sleneset";"2000_8168676";"8168676";"2000_sleneset";2000;"sleneset";35;1;1;1999;"no";"obs";NA;NA;"f";0;0;0;"no";"yes";"never";50;60;52
"115";"2000_8168679_sleneset";"2000_8168679";"8168679";"2000_sleneset";2000;"sleneset";35;1;1;1999;"no";"obs";NA;NA;"m";0;0;0;"no";"no";"never";50;60;52
"116";"1999_8168683_træna";"1999_8168683";"8168683";"1999_træna";1999;"træna";23;1;1;1998;"no";NA;"capt";NA;"f";0;0;0;"no";"no";"never";63;77;62
"117";"1999_8168684_træna";"1999_8168684";"8168684";"1999_træna";1999;"træna";23;1;1;1998;"no";"obs";"capt";NA;"m";0;0;0;"no";"no";"never";63;77;62
"118";"1999_8168692_indre kvarøy";"1999_8168692";"8168692";"1999_indre kvarøy";1999;"indre kvarøy";28;0;1;1998;"no";NA;"capt";NA;"f";1;1;3;"yes";"yes";"yes";44;51;49
